,SOFTWARE QUALITY GRADE,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOMAIN,DESKTOP GIS SYSTEMS,,,,,,STAND-ALONE TOOLS,,,,,,,,,,,,Python,C++,Python,R,Python,Python,C,Python,Python,R,R,Python,,TOTAL
,Summary Information,DIVA-GIS,GRASS,gvSIG (desktop),QGIS,SAGA-GIS,uDig,Biomapper,Conefor,CROP_VGT,CyberTracker,DesktopGarp,FRAGSTATS,"Lifemapper (Py, web)",MARXAN,Maxent,openModeller,OSSIM,Zonation,GDAL/OGR,GDL,geopy,landsat,NetworkX,NumPy,PostGIS,pyproj,pyshp,raster,rgdal,shapely,,30
,Software Name:,DIVA-GIS,GRASS,gvSIG,QGIS,SAGA-GIS,uDig,Biomapper,Conefor,CROP_VGT,CyberTracker,DesktopGarp,FRAGSTATS,Lifemapper,MARXAN,Maxent,openModeller,OSSIM,Zonation,GDAL/OGR in Python,GDL - GNU Data Language,geopy,landsat,NetworkX,NumPy,PostGIS,pyproj,pyshp,raster,rgdal,shapely,,
,URL:,http://www.diva-gis.org/,http://grass.osgeo.org/,http://www.gvsig.org/web,http://www.qgis.org/,http://www.saga-gis.org/en/index.html,http://udig.refractions.net/,http://www2.unil.ch/biomapper/,http://www.conefor.org/coneforsensinode.html,http://cidoc.iuav.it/~silvio/cropvgt.html,http://www.cybertracker.org/,http://www.nhm.ku.edu/desktopgarp/FAQ.html,http://www.umass.edu/landeco/research/fragstats/fragstats.html,lifemapper.org,http://www.uq.edu.au/marxan/,http://www.cs.princeton.edu/~schapire/maxent/,http://openmodeller.sourceforge.net/,http://trac.osgeo.org/ossim/,http://cbig.it.helsinki.fi/software/zonation/,http://trac.osgeo.org/gdal/wiki/GdalOgrInPython,http://gnudatalanguage.sourceforge.net/,https://github.com/geopy/geopy,http://cran.r-project.org/web/packages/landsat/,http://networkx.github.io/,http://www.numpy.org/,http://postgis.refractions.net/,https://code.google.com/p/pyproj/,https://code.google.com/p/pyshp/,http://cran.r-project.org/web/packages/raster/,http://cran.r-project.org/web/packages/rgdal/index.html,https://github.com/Toblerity/Shapely,,
,Educational Institution:,None,None,None,None,None,None,"University of Lausanne, Switzerland",University of Madrid and the University of Lleida.,University IUAV of Venice,None,The University of Kansas,UMass,None,"The University of Queensland, Australia",Princeton,None,None,University of Helsinki,None,None,None,None,None,None,None,None,None,None,None,None,,
,Purpose:,GIS,"Free, Open source GIS",Desktop GIS,GIS,GIS,GIS (Eclipse Client),GIS toolkit to model ecological niche factor analysis (ENFA) and habitat suitability for animals or plants,Quantify importance of habitat areas for landscape connectivity,"Extracts a user-defined region from a set of VEGETATION files in their distribution form (HDF format, zipped). ","Field data collection. Create field surveys, databases",Ecological niche modeling for animals or plants,Spatial Pattern Analysis,"Uses online geospatial data and creates distribution maps, and enables analysis",Conservation planning,Specis Habitat Modeling,Ecological modeling,Geographical image processing,Spatial Priority Ranking for Conservation and Land-Use Planning,Manipulate GDAL data in python,"Together with its library routines it serves as a tool for data analysis and visualization in such disciplines as astronomy, geosciences and medical imaging.",Locate coordinates of locations across the globe using web data services,"Multispectral satellite imagery. Radiomatric correction, topographic correction",Graph Theory package,Package for scientific computing with Python,Spatial database extender for PostgreSQL object-relational database,Performs cartographic transformations and geodetic computations.,Reads ESRI shapefiles,Gridded spatial data analyzer,"Depends on sp, reads and writes rasters with spatial references to and from sp classes.",Python package for manipulation and analysis of planar geometric objects (shape files),,
,Num. Developers:,4,57,2 main ones?,110 contributors,5,19+ & 5 on steering committee,2,2,1,4 main http://www.cybertracker.org/about-us/the-cybertracker-team,1 at first,"1 main developer, dozens of contributors over the years http://www.umass.edu/landeco/people/people.html",4,27+,3,21,2,15+,50+,5,26,1,45,5,"""group"" & steering committee",1,1,9,3,22,,
,How is the project funded:,Not clear,"Donations, OSGeo",Open source & in partnership with OSGEO,Sponsors (OSGeo),Donations & Funding universities (http://www.saga-gis.org/en/about/usergroup.html),Not clear,"University of Lausanne, Switzerland",Spanish Ministry of Science and Innovation and European FEDER,University IUAV of Venice,Donor funding,The University of Kansas,Umass,"NASA & US NSF grants EPS-0919443, OCI-1135510, EF-0851290, DEB-120847",Sponsors,Princeton,FAPESP funding,OSGeo,University of Helsinki,Not?,Not??,Not,Dev is .gov,.gov?,Donations & sponsored by Enthought,Open source & in partnership with OSGEO,.gov?,Business? http://geospatialpython.com/,Not clear,University of Wisconsin?,Not clear,,
,Number of downloads for current version:,Not shown,Not shown,Not shown,Not shown,Downloads per week: ~1000,Not shown,Not shown,Not shown,Not shown,Not shown,Not shown,Not shown,Not shown,Not shown,Not shown,50 this week,Not shown,Not shown,Not shown,65,Not shown,Not shown,Not shown,"14,197 this week",Not shown,22034,Not shown,Not shown,Not shown,Not shown,,
