,SOFTWARE QUALITY GRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOMAIN,,Mesh Generation,,,,,,,,,,,,,,,,,,,,,,,,,Commercial,,,,,,,,
,,,Tri Sur,Tri Sur Tet,,3str,Tri Tet,Tet,Qua,Tri Qua Sur Tet Hex,Tri Tet,Sur Tet,,Tri Tet,Tri,,,2str 3str,Qua Hex,Tri,2str,Tet,Tet,Tri,Tri 2str,2str,,Tri Qua Sur Tet Hex,Tri Qua 2str,,TOTAL,,,,,"Removed since not really a mesh generator, a data structure"
,Summary Information,Types,ADMesh,CGAL,CGM,Discretizer,DistMesh,enGrid,EZ4U,Geompack++,GMSH,iso2mesh,Mefisto,MeshGenC++,MeshLab,MMesh3D,OpenFlipper,Overture,Pamgen,Qhull,Seagrid,snappyHexMesh - apart of OpenFOAM,TetGen,TriGrid,UGRID,UNAMalla,ViennaGrid,Algor (Autodesk Simulation Mechanical),Argus ONE,,27,,,,,OpenVolumeMesh
,Software Name:,string,ADMesh,CGAL,"The Common Geometry Module, Argonne",Discretizer,DistMesh,enGrid,EZ4U,Geompack++,GMSH,iso2mesh,Mefisto,MeshGenC++,MeshLab,MMesh3D,OpenFlipper,http://www.overtureframework.org/,Pamgen,Qhull,SeaGrid,snappyHexMesh,TetGen,TriGrid,UGRID,UNAMalla,ViennaGrid,Autodesk Simulation Mechanical,Argus Open Numerical Environment,,,,,,,OpenVolumeMesh
,URL:,string,http://www.varlog.com/admesh-htm & http://github.com/hroncok/admesh,http://www.cgal.org/,http://trac.mcs.anl.gov/projects/ITAPS/wiki/CGM,http://www.discretizer.org/,http://persson.berkeley.edu/distmesh/,http://engits.eu/en/engrid,http://www.lacan.upc.edu/ez4u.htm,http://members.shaw.ca/bjoe/,http://www.geuz.org/gmsh/,http://iso2mesh.sourceforge.net/cgi-bin/index.cgi,http://www.ann.jussieu.fr/~perronnet/mefistoa.gene.html,http://www.dogpack-code.org/MeshGenC++/,http://meshlab.sourceforge.net/,http://mmesh3d.wikispaces.com/,http://www.openflipper.org/,http://www.overtureframework.org/index.html,http://trilinos.sandia.gov/packages/pamgen/,http://www.qhull.org/,http://woodshole.er.usgs.gov/operations/modeling/seagrid/index.html,http://www.openfoam.org/docs/user/snappyHexMesh.php,http://wias-berlin.de/software/tetgen/,http://trigrid.sourceforge.net/,http://www.telusplanet.net/public/djhawken/ugrid.htm,http://lya.fciencias.unam.mx/unamalla/home_i.html,http://viennagrid.sourceforge.net/,http://www.autodesk.com/products/simulation/features/simulation-mechanical/all/gallery-view,http://www.argusone.com/,,,,,,,http://www.openvolumemesh.org/
,Educational Institution:,string,"California State University, Long Beach (ADMesh is a masters thesis)",None,University of Wisconsin,None,UC Berkeley,None,Universitat Politecnica de Catalunya,None,University of Lige & Universit_ catholique de Louvain,Harvard Medical School/MA General Hospital,"Universit_ Pierre et Marie CURIE at Paris, France",University of Wisconsin and New York University,University of Pisa,Naval Postgraduate School (NPS),RWTHaachen University,Rensselear Polytechnic Institute,None,Harvard and University of Minnesota (The Geometry Group),None,None,None,None,None. Dev has P.h.D from UofT,"Institute of Cybernetics and Physics of Cuba, the Faculty of Physical-Mathematical Sciences of the University of San Nicolös de Hidalgo Michoacön, and of the Autonomous University of Coahuila",Vienna Institute of Technology,None,None,,,,,,,RWTHaachen University
,Purpose:,string,Processing triangulated solid meshes. Analysis & repair of STL files,Computational Geometry Algorithms Library,Code library which provides geometry functionality used for mesh generation and other applications,Interactive mesh creation tool for CFD,MATLAB code for generation of unstructured triangular and tetrahedral meshes.,open-source mesh generation software with CFD applications in mind,Mesh Generation environment,"Comprehensive object-oriented C++ software package for finite element mesh generation (triangular, quadrilateral, surface, tetrahedral, hexahedral-dominant)",3D finite element grid generator with a build-in CAD engine and post-processor,MATLAB/Octave based mesh generation and processing toolbox,"PDE solver by Finite Element Methods on 1d, 2d, or 3d objects or a 6-d cube",Generating unstructured meshes in 2D (via triangles) and 3D (via tetrahedrals).,Processing and editing of unstructured 3D triangular meshes,"A semi-structured multiblock (2 blocks in Z) 2D/3D mesh generator for Hexahedrons and Prisms --wedges of triangular base-- in 3d, and Quads and Tri in 2d thought, mostly for topography-based domains",multi-platform application and programming,An Object-Oriented Toolkit for Solving Partial Differential Equations in Complex Geometry,"PAMGEN creates hexahedral or quadrilateral (in 2D) finite element meshes of simple shapes (cubes and cylinders) in parallel. When linked to an application as a library, it allows each process of a parallel simulation to generate its finite element domain representation at execution time.","Qhull computes the convex hull, Delaunay triangulation, Voronoi diagram, halfspace intersection about a point, furthest-site Delaunay triangulation, and furthest-site Voronoi diagram","Generating an orthogonal grid within a curved perimeter, suitable for oceanographic modeling",CFD software package,A Quality Tetrahedral Mesh Generator and a 3D Delaunay Triangulator,"Two dimensional (2D) fine mesh finite element (FE) grid editing system. Includes constrained Delaunay triangulation, and automated grid resolution changes based on local attributes.","Generation of 2D unstructured, structured, and hybrid meshes about airfoils and circles",Generation of structured smooth and convex grids over irregular regions,Handle structured and unstructured meshes,Finite element analysis and modeling,Family of general purpose graphical Pre- and Post-Processors for the numerical modeler,,,,,,,A Generic and Versatile Index-Based Data Structure for Polytopal Meshes
,Num. Developers:,positive integer,1 main. 7 contributors over time,100+ over time http://www.cgal.org/people.html,6+,1,2,4,1,1,2,1,1,2,2 main & list of developers over time,2+,19,2,1,2,Unclear,Unclear,1,1?,1,3 (13 in 'workgroup'),1 main. 4 contributors,Unclear,Unclear,,,,,,,2+
,How is the project funded:,string,Not,Partners & Funding page http://www.cgal.org/partners.html,University of Wisconsin,Not,UC Berkeley & MIT,European Space Agency & consultancy projects,Universitat Politecnica de Catalunya,Zhou Computing Services Inc.,Donations,"Optics Division, Martinos Center for Biomedical Imaging, Massachusetts General Hospital/Harvard Medical School.","Universit_ Pierre et Marie CURIE at Paris, France",NSF grants,3D-COFORM project,Naval Postgraduate School (NPS),RWTHaachen University,Not shown,Sandia National Laboratories,"Harvard and NSF grants NSF/DMS-8920161 
  and NSF-CCR-91-15793 750-7504",US Department of the Interior,Donations,"Weierstrass Institute for Applied Analysis and Stochastics (WIAS), Berlin",Not,Not shown,"Institute of Cybernetics and Physics of Cuba, the Faculty of Physical-Mathematical Sciences of the University of San Nicolös de Hidalgo Michoacön, and of the Autonomous University of Coahuila",Vienna Institute of Technology,Commercial,Commercial,,,,,,,RWTHaachen University
