,SOFTWARE QUALITY GRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary Information (All),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Software Name:,oce: Analysis of Oceanographic data,seacarb: seawater carbonate chemistry with R,ocean: Biophysical Oceanography Tools,OceanView: Visualisation of Oceanographic Data and Model Output,SeaGrid Orthogonal Grid Maker For Matlab,Gibbs-SeaWater (GSW) Oceanographic Toolbox v3.04,STAPLOT,Stony Brook Parallel Ocean Model,WAFO,Acoustic Doppler Current Profiler Data Processing System,JLAB,RSLICE,TSG-QC: A tool for interactive quality control of sea surface temperature and salinity,M_Map: A mapping package for Matlab,NEMO,The Generalized Ocean Layered Model (GOLD),Modular Ocean Model (MOM),MPAS-Ocean,General Ocean Turbulence Model (GOTM),MITgcm,The Los Alamos sea ice model (CICE),ADCIRC,Regional Ocean Modeling System (ROMS),The Bergen Ocean Model (BOM),MOHID Studio,Ocean Data View (ODV),SUNTANS,Earth System Climate Model 2.8 (Didn't work on 2.9 for relative instructions are not released),HYBRID COORDINATE OCEAN MODEL,Finite Volume Community Ocean Model (FVCOM)
,URL:,http://cran.r-project.org/web/packages/oce/index.html,http://cran.r-project.org/web/packages/seacarb/index.html,http://cran.r-project.org/web/packages/ocean/index.html,http://cran.r-project.org/web/packages/OceanView/index.html,http://woodshole.er.usgs.gov/operations/modeling/seagrid/,http://www.teos-10.org/software.htm,http://gyre.umeoce.maine.edu/staplot/staintro.html,http://www.imedea.uib-csic.es/users/toni/sbpom/index.php,http://www.maths.lth.se/matstat/wafo/,http://woodshole.er.usgs.gov/operations/stg/pubs/ADCPtools/,http://www.jmlilly.net/jmlsoft.html,http://marine.rutgers.edu/~jevans/rslice/rslice/doc/html/,http://www.ird.fr/us191/spip.php?article63,http://www2.ocgy.ubc.ca/~rich/map.html,http://www.nemo-ocean.eu/,http://code.google.com/p/gold-omod/,http://mdl-mom5.herokuapp.com/web,http://mpas-dev.github.io/,http://www.gotm.net/,http://mitgcm.org/,http://oceans11.lanl.gov/drupal/CICE,http://adcirc.org/home/documentation/users-manual-v50/introduction/,http://www.myroms.org/,http://www.mi.uib.no/BOM/,http://www.actionmodulers.pt/default.aspx?canal=33 && http://www.mohid.com/,http://odv.awi.de/en/home/,http://sourceforge.net/projects/suntans/?source=navbar,http://climate.uvic.ca/model/2.8/,https://hycom.org/hycom,http://fvcom.smast.umassd.edu/fvcom/
,Educational Institution:,Cran,Cran,Cran,Cran,U.S. Geological Survey,Unclear,Unclear,Unclear,Lund University with Lund Institute of Technology,Unclear,NorthWest Research Associates,Unclear,IRD,UBC,NEMO,GFDL,NOAA/GFDL,COSIM project at Los Alamos National Laboratory,Joint Research Centre,MITgcm,Los Alamos National Laboratory,University of north carolina at chapel hill,Rutgers and UCLA,"Dept. of Mathematics , University of Bergen",Instituto Superior T¨¦cnico (IST),Alfred Weneger Institute,Stanford University,UVIC,Unclear,"The Marine Ecosystem Dynamics Modeling Laboratory (MEDML) at the School for Marine Science and Technology, University of Massachusetts-Dartmouth"
,Purpose:,"Supports the analysis of Oceanographic data, including ADP measurements, CTD measurements, sectional data, sea-level time series, coastline files, etc. Provides functions for calculating seawater properties such as potential temperature and density, as well as derived properties such as buoyancy frequency and dynamic height.",Calculates parameters of the seawater carbonate system and assists the design of ocean acidification perturbation experiments.,This package contains a set of functions for manipulating and visualizing output from numerical ocean models. Many of the routines are targeted towards Lagrangian particle-tracking models with the data stored in NetCDF files. This package may be useful to spatial marine ecologists and biological or physical oceanographers.,Functions for transforming and viewing 2-D and 3-D (oceanographic) data and model output.,"SeaGrid is a Matlab 5.2+ application for generating an orthogonal grid within a curved perimeter, suitable for oceanographic modeling.",The Gibbs-SeaWater (GSW) Oceanographic Toolbox contains the TEOS-10 subroutines for evaluating the thermodynamic properties of pure water (using IAPWS-09) and seawater (using IAPWS-08 for the saline part). ,A simple and flexible package designed to facilitate graphical analysis of hydrographic or other irregularly spaced data.,"The Stony Brook Parallel Ocean Model (sbPOM) is a parallel, free-surface, sigma-coordinate, primitive equations ocean modeling code based on the Princeton Ocean Model (POM). ",WAFO is a toolbox of Matlab routines for statistical analysis and simulation of random waves and random loads. ,"Our Acoustic Doppler Current Profiler Data Processing System, or ADCP Tools for short, is a set of documented MATLAB m-files which convert RDI data to netCDF format, process and display the data. Beam to earth rotations can be computed if data was recorded in beam. Velocity, intensity, % good, and correlation data as well as ancillary data such as temperature and sound speed are available on a beam by bin basis, and as a 3D plot.",Matlab freeware for data analysis by J. M. Lilly. 300+ heavily tested functions including industrial stength wavelet and time series analysis tools.,http://marine.rutgers.edu/~jevans/rslice/rslice/doc/html/ch01.html,See http://www.ird.fr/us191/spip.php?article63 purpose,"M_Map is a collection of routines that allow you to draw publication-quality maps in 18 different projections. M_Map includes a simple coastline and elevation database, and allows you to add your own data to those maps.","Oceanographic research, operational oceanography seasonal forecast and climate studies.","The model solves the three-dimensional primitive equations for fluid motions on the sphere under hydrostatic and Boussinesq approximations. Spatial derivatives are computed using finite-difference discretizations which are formulated to handle any generalized orthogonal grid on a sphere, including dipole and tripole grids which shift the North Pole singularity into land masses to avoid time step constraints due to grid convergence.",MOM is a numerical ocean model based on the hydrostatic primitive equations,MPAS-O is designed for the simulation of the ocean system from time scales of months to millenia and spatial scales from sub 1 km to global circulations.,"It is a one-dimensional water column model for the most important hydrodynamic and thermodynamic processes related to vertical mixing in natural waters. In addition, it has been designed such that it can easily be coupled to 3-D circulation models, and used as a module for the computation of vertical turbulent mixing. The core of the model computes solutions for the one-dimensional versions of the transport equations of momentum, salt and heat. The key component in solving these equations is the model for the turbulent fluxes of these quantities.","The MITgcm (MIT General Circulation Model) is a numerical model designed for study of the atmosphere, ocean, and climate. Its non-hydrostatic formulation enables it to simulate fluid phenomena over a wide range of scales; its adjoint capability enables it to be applied to parameter and state estimation problems. By employing fluid isomorphisms, one hydrodynamical kernel can be used to simulate flow in both the atmosphere and ocean. - See more at: http://mitgcm.org/#sthash.6xyUYmLA.dpuf",Standalone mode for sea ice simulations,http://adcirc.org/home/documentation/users-manual-v50/introduction/,http://www.myroms.org/,numerical simulation tool,"The MOHID modelling system allows the adoption of an integrated modelling philosophy, not only of processes (physical and biogeochemical), but also of different scales (allowing the use of nested models) and systems (estuaries and watersheds), due to the adoption of an object oriented programming philosophy.","Ocean Data View (ODV) is a software package for the interactive exploration, analysis and visualization of oceanographic and other geo-referenced profile, time-series, trajectory or sequence data.","The Stanford unstructured-grid, nonhydrostatic, parallel coastal ocean model. For simulation of nonhydrostatic flows at high resolution in estuaries and coastal seas. Requires a grid generator and ParMETIS (if run in parallel).",Unclear,https://hycom.org/hycom/overview,"FVCOM is a prognostic, unstructured-grid, finite-volume, free-surface, 3-D primitive equation coastal ocean circulation model developed by UMASSD-WHOI joint efforts. The model consists of momentum, continuity, temperature, salinity and density equations and is closed physically and mathematically using turbulence closure submodels."
,Num. Developers:,1,7,2,1,Unclear,Unclear,Unclear,Unclear,5,6,1,1,Unclear,6,26,3,Unclear,Unclear,5,Unclear,Unclear,8 with some partners,40,Unclear,Unclear,Unclear,4,Unclear,Unclear,Unclear
,How is the project funded:,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,NOAA,Unclear,Climate and Environmental Sciences Division within the Department of Energy,No,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,"ODV development has received funding from the European Union Seventh Framework Programme (FP7/2007-2013) under grant agreement n¡ã 283607, SeaDataNet2, 211384, EPOCA, and 264879, CarboChange.",Unclear,Unclear,National Oceanographic Partnership Program and Office of Naval Research,State and federal funding
,Number of downloads for current version:,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,6258,Unclear,More than 1000,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,208,Unclear,107,Unclear
